wordCount,uniqueWords,numberOfRepeatedWords,ratioOfTotalWordsToUnique,DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,averageSetWordLength,WordsRhymes,RatioOfPOStoWords,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,semantic_similarity,average_word_frequency,avg_word_similarity_hebrew,avg_word_similarity_english,word_similarity_large,MappedStyle
131,78,53,0.595419847,65,10,6.49929089,6.515103224,3.974358974,175,0.076335878,7.705,6,230693.32,1.526717557,868.286,0.68158364,0.001952022,0.425183982,0.359255344,0.87280834,0
110,49,61,0.445454545,46,10,5.705117325,5.826510997,4,102,0.090909091,56.69,18,3582885.102,4.545454545,764783.083,0.68410313,0.001412418,0.374352068,0.292657226,0.86738884,0
175,84,91,0.48,80,10,6.281125105,6.478776132,3.833333333,253,0.057142857,89.15,1,61637.479,2.857142857,11548.275,0.64230597,0.001005602,0.320620805,0.329586208,0.87016344,0
233,93,140,0.399141631,84,10,6.563342499,6.745138327,4.043010753,284,0.042918455,120.28,7,191359.05,3.862660944,6670.21,0.62965995,0.001791854,0.42874077,0.322726071,0.87094957,0
148,72,76,0.486486486,67,11,6.32909977,6.534964008,3.666666667,71,0.074324324,8.33,9,229834.102,4.054054054,674.922,0.55263615,0.002401661,0.417399168,0.326170892,0.86901695,0
99,81,18,0.818181818,77,10,6.533077191,6.579294285,3.802469136,142,0.101010101,14.19,17,1414422.853,0,0,0.6965891,0.001625492,0.436276555,0.429044574,0.863551,0
275,152,123,0.552727273,132,12,7.450581307,7.551029164,4.309210526,1261,0.043636364,159.445,25,550394.14,4,2423.539,0.58386195,0.002466012,0.427940667,0.296464384,0.86757505,0
117,73,44,0.623931624,68,8,6.530394788,6.584620486,3.95890411,88,0.068376068,29.9,4,284660.806,0.854700855,478.469,0.6436336,0.001710364,0.456027597,0.369306356,0.8676369,0
109,79,30,0.724770642,67,11,6.544194099,6.591934276,4.075949367,124,0.100917431,59.81,3,308260.141,1.834862385,331.111,0.6521237,0.001678367,0.418447912,0.347231358,0.87429684,0
160,76,84,0.475,67,11,6.304565226,6.438774201,4.026315789,181,0.06875,14.725,0,24962.722,3.125,681.896,0.7057291,0.002068609,0.419584364,0.331910074,0.8791158,0
559,180,379,0.322003578,164,12,7.64434175,8.041909487,3.988888889,1834,0.021466905,26.545,29,338033.971,5.18783542,157085.075,0.7435218,0.002279702,0.401693046,0.284144998,0.8623029,0
124,81,43,0.653225806,75,10,6.251190778,6.312514567,4.358024691,158,0.080645161,34.51,6,190144.171,2.419354839,44371.499,0.5733293,0.000876797,0.32488969,0.310717136,0.8621505,0
301,142,159,0.471760797,121,12,7.466663274,7.537925253,4.112676056,609,0.03986711,69.31,11,94857.294,2.657807309,9960.406,0.5914476,0.002490151,0.400072068,0.303883851,0.86986285,0
195,119,76,0.61025641,104,10,7.200377919,7.33338968,4.12605042,333,0.051282051,13.835,8,548485.338,1.538461538,1875.051,0.5380443,0.001849409,0.400034726,0.322386831,0.8709237,0
141,70,71,0.496453901,63,8,6.389214156,6.471459058,4.128571429,138,0.056737589,2.47,8,145898.387,2.127659574,590.562,0.5862804,0.002417651,0.440097153,0.298978031,0.8749244,0
50,42,8,0.84,39,8,5.533077191,5.543295834,4.095238095,10,0.16,33.85,7,1031736.394,0,0,0.7643924,0.001719681,0.378868967,0.451624542,0.8634914,1
75,53,22,0.706666667,50,7,6.020264176,6.052838258,3.886792453,30,0.093333333,5.89,12,1104384.997,1.333333333,478.469,0.7162658,0.000957375,0.495735168,0.441538125,0.8625041,1
54,51,3,0.944444444,44,8,5.690184606,5.700439718,3.784313725,11,0.148148148,33.485,3,197540.698,0,0,0.6370789,0.001334114,0.395402759,0.396703571,0.86168045,1
37,21,16,0.567567568,19,6,4.537844793,4.67214016,4,5,0.162162162,6.2,0,133938.93,2.702702703,561.798,0.62072605,0.002117555,0.33019948,0.459098607,0.87012535,1
47,42,5,0.893617021,40,7,5.523561956,5.491853096,4.047619048,13,0.14893617,3.83,3,400795.55,0,0,0.75221074,0.001773648,0.376116157,0.460264534,0.8624954,1
35,30,5,0.857142857,29,7,5.087462841,5.044394119,4.3,56,0.2,23.2,5,657460.003,0,0,0.71322083,0.002245611,0.385139406,0.466379732,0.86187243,1
107,68,39,0.635514019,61,8,6.475515855,6.695197899,3.75,61,0.074766355,9.35,9,1145489.687,1.869158879,347.32,0.6558723,0.002825614,0.430594355,0.380254775,0.86861396,1
102,79,23,0.774509804,74,9,6.638409503,6.64385619,3.64556962,46,0.088235294,55,8,1623716.774,0,0,0.7377083,0.002466299,0.502004981,0.380049556,0.8668845,1
81,56,25,0.691358025,54,10,5.946928095,6.101249103,3.553571429,52,0.12345679,47.86,10,1359858.159,2.469135802,57098.765,0.6648003,0.000897101,0.457890987,0.392226279,0.85863096,1
78,44,34,0.564102564,40,8,5.903150177,6.063716987,3.295454545,21,0.102564103,42.335,2,47019.619,3.846153846,348.653,0.6982208,0.002073874,0.474054575,0.417330623,0.8724207,1
62,51,11,0.822580645,48,9,5.734016026,5.840223929,3.803921569,7,0.14516129,39.95,7,669921.518,1.612903226,25706.941,0.7309624,0.001148476,0.450133264,0.38499108,0.8611612,1
97,71,26,0.731958763,66,9,6.522462501,6.548802977,3.76056338,55,0.092783505,59.215,9,311696.213,2.06185567,136.367,0.691738,0.003749715,0.464770764,0.371928632,0.870222,1
89,60,29,0.674157303,53,9,6.368522528,6.442943496,4.05,66,0.101123596,49.765,7,432769.524,1.123595506,49.02,0.74091357,0.003117074,0.426510811,0.381800175,0.86619633,1
57,49,8,0.859649123,45,6,5.686731931,5.744996077,3.857142857,20,0.105263158,32.43,5,254252.398,0,0,0.77149594,0.001829213,0.407976449,0.428369641,0.8646103,1
52,22,30,0.423076923,20,7,4.769697891,4.92836744,3.772727273,45,0.134615385,26.55,17,2223282.746,3.846153846,4904353.129,0.609185,0.001048595,0.507982969,0.37038219,0.8626394,1
129,95,34,0.736434109,84,9,6.96875,6.988684687,3.884210526,110,0.069767442,75.37,6,294287.641,0,0,0.69918466,0.001643743,0.474172384,0.37291351,0.8704375,1
72,42,30,0.583333333,38,7,5.448698704,5.65757516,4.023809524,20,0.097222222,39.8,4,396487.583,2.777777778,21122.995,0.7700623,0.000889095,0.455927104,0.367690384,0.8663506,1
43,40,3,0.930232558,38,6,5.392317423,5.357552005,4.2,20,0.139534884,28.965,11,2547445.939,0,0,0.68752074,0.000889581,0.599116862,0.452236891,0.85869116,1
80,67,13,0.8375,55,9,6.253147837,6.259761193,3.835820896,24,0.1125,43.69,4,1136024.611,1.25,131.752,0.460046,0.00210948,0.503277123,0.364910901,0.86983114,1
86,31,55,0.360465116,33,10,6.103508583,6.320888851,2,0,0.11627907,7.95,7,854846.864,5.813953488,26959.519,0.7102765,0.001080071,0.636259854,0.564970732,0.88769156,1
92,59,33,0.641304348,57,7,5.936366069,5.936297541,4.084745763,104,0.076086957,4.94,13,1473400.815,1.086956522,70.922,0.62789774,0.002289408,0.447565973,0.360480815,0.85813296,1
49,39,10,0.795918367,37,6,5.418295834,5.554588852,3.58974359,5,0.12244898,28.77,1,85440.081,0,0,0.7934599,0.002250863,0.568237603,0.41286999,0.8639356,1
109,73,36,0.669724771,67,9,6.421554169,6.461093155,3.684931507,98,0.082568807,65.17,8,529688.721,0.917431193,251.256,0.70454323,0.001471178,0.436627746,0.365992367,0.86567307,1
86,63,23,0.73255814,55,9,6.221155642,6.320888851,4,33,0.104651163,2.14,3,202377.057,1.162790698,49.02,0.65675914,0.00248798,0.44413951,0.339680195,0.86659753,1
55,45,10,0.818181818,45,7,5.717850465,5.727920455,3.755555556,11,0.127272727,34.96,7,1285984.418,0,0,0.68083787,0.00226145,0.561747193,0.427526593,0.8606103,1
132,75,57,0.568181818,71,9,6.260756735,6.495917337,3.586666667,47,0.068181818,66.285,0,46214.521,3.03030303,1403.755,0.7333867,0.003013336,0.444646508,0.349740267,0.87960696,1
101,83,18,0.821782178,74,12,6.62385619,6.62935662,3.927710843,48,0.118811881,56.43,7,371185.11,0,0,0.75714505,0.00224962,0.485385507,0.379841119,0.86696917,1
137,48,89,0.350364964,44,8,5.999227547,6.291630412,4.145833333,152,0.058394161,4.775,13,440947.399,4.379562044,8685.101,0.62798226,0.002422248,0.447773248,0.364668578,0.8709816,1
